---

### HSK1级

#### 篇目1：饮食习俗 – 我喜欢吃饺子  
9. 老虎不知道动物们怕的是自己，还以为它们怕狐狸。  
10. 这个故事告诉我们，不要借别人的威风吓唬人。  

#### 篇目2：饮食习俗 – 用筷子吃饭  
1. 中国人吃饭常用筷子。  
2. 筷子有两根，一样长。  
3. 筷子可以用木头、竹子或塑料做。  
4. 用筷子吃饭需要练习。  
5. 拿筷子时，一根不动，另一根动。  
6. 筷子可以夹菜、夹肉，也可以吃面条。  
7. 吃饭时不要把筷子插在碗里。  
8. 那是不礼貌的行为。  
9. 也不要用筷子敲碗。  
10. 学会用筷子，可以更好地享受中餐。  

---

### HSK4级

#### 篇目1：思想观念 – 己所不欲，勿施于人  
1. 孔子是中国古代伟大的思想家。  
2. 他说过一句话：“己所不欲，勿施于人。”  
3. 这句话的意思是：自己不喜欢的事，不要强加给别人。  
4. 比如，你不喜欢别人对你说谎，那你也不应该对别人说谎。  
5. 你不喜欢别人打断你说话，那你也要耐心听别人说完。  
6. 这个道理很简单，但做起来不容易。  
7. 如果能做到，人和人之间会减少很多矛盾。  
8. 孔子认为，这是仁爱的基础。  
9. 今天，这句话仍然是很多人做人的原则。  
10. 它告诉我们要换位思考，尊重他人。  

#### 篇目2：政治法律 – 红灯停，绿灯行  
1. 每个国家都有交通规则。  
2. 在中国，车辆和行人都要遵守交通信号灯。  
3. 红灯亮的时候，不能过马路。  
4. 绿灯亮的时候，才能通行。  
5. 黄灯是警告，表示马上要变红灯了。  
6. 法律规定，闯红灯是违法行为。  
7. 闯红灯可能会造成交通事故，很危险。  
8. 小孩子过马路要拉着大人的手。  
9. 骑自行车也不能闯红灯。  
10. 遵守交通规则，是为了保护自己和他人的安全。  

---

### HSK5级

#### 篇目1：神话传说 – 女娲补天  
1. 传说在很古老的时候，天塌了一个大洞。  
2. 地上洪水泛滥，大火燃烧，人们生活得非常痛苦。  
3. 女娲是一位女神，她看到人们的苦难，心里很难过。  
4. 她决定把天上的洞补好。  
5. 女娲找来了五种颜色的石头，用火炼成石浆。  
6. 她拿着石浆飞到天上，一点一点把洞补上。  
7. 补好天以后，女娲又杀了一只大海龟，用它的四条腿撑住天空的四角。  
8. 天地终于恢复了平静，人们重新过上了安定的生活。  
9. 女娲还创造了人类，所以人们称她为人类的母亲。  
10. 这个故事体现了中国古人面对灾难时勇敢和奉献的精神。  

#### 篇目2：历史故事 – 孔融让梨  
1. 孔融是东汉时期的一位文学家，他小时候就很懂事。  
2. 有一天，父亲的朋友送来一篮梨。  
3. 梨有大有小，非常新鲜。  
4. 父亲让孔融分给兄弟们吃。  
5. 孔融拿了一个最小的梨，把大的梨给了哥哥和弟弟。  
6. 父亲很惊讶，问他为什么这样做。  
7. 孔融回答说：“我年纪比哥哥小，应该吃小的。我年纪比弟弟大，应该让着弟弟。”  
8. 父亲听了非常高兴，夸奖他是一个懂得谦让的好孩子。  
9. 这个故事后来传开了，成为教育孩子谦让和友爱的典范。  
10. “孔融让梨”也成为了中国道德教育中常用的成语。  

---

### HSK6级

#### 篇目1：思想观念 – 道家的“无为而治”  
1. 道家是中国古代重要的哲学流派，代表人物是老子和庄子。  
2. 道家思想的核心之一是“无为而治”。  
3. “无为”并不是什么都不做，而是指不妄为、不强行干预事物的自然发展。  
4. 老子认为，天地万物都有自己运行的规律，人应该顺应这个规律，而不是违背它。  
5. 他用水做比喻：水总是往低处流，不争不抢，却能滋润万物。  
6. 在治国方面，道家主张统治者减少法令和强制措施，让百姓自然发展、安居乐业。  
7. 过多的人为干预反而会导致混乱。  
8. 庄子的故事里也常讲：一只鸟如果被关在笼子里，虽然被照顾得很好，却失去了自由。  
9. 无为而治对后世的治国理念、艺术创作和养生哲学都产生了深远影响。  
10. 直到今天，这种顺应自然、减少强制的思维方式仍然是中国人思想中的重要组成部分。  

#### 篇目2：道德伦理 – 孝道：从父母到家庭  
1. “孝”是中国传统道德伦理中最核心的概念之一。  
2. 《孝经》中写道：“夫孝，天之经也，地之义也，民之行也。”意思是，孝道是天经地义的事。  
3. 孝的基本内容是尊敬父母、赡养父母、听从父母的合理教导。  
4. 古人认为，身体发肤受之父母，不敢毁伤，这也是孝的开始。  
5. 长大后努力工作，为父母争光，是孝的进一步发展。  
6. 在传统社会，不孝是非常严重的罪名。  
7. 随着时代变化，孝的具体形式也在改变，但尊敬和关爱父母的内核没有变。  
8. 现代社会中，孝不仅包括物质上的供养，更包括精神上的陪伴和关心。  
9. 常回家看看、给父母打电话、记住他们的生日，都是孝的体现。  
10. 从孝出发，中国人也很重视家庭和睦与代际之间的联系，这是中国文化的重要特色。

---

## HSK1级（补充8篇）

#### 篇目3：饮食习俗 – 米饭和面条  
1. 中国人常吃米饭。  
2. 南方人喜欢吃米饭。  
3. 北方人喜欢吃面条。  
4. 面条是长长的。  
5. 过生日的时候吃面条。  
6. 面条代表长寿。  
7. 米饭可以配菜吃。  
8. 菜有肉，有青菜。  
9. 吃饭要用碗。  
10. 碗里不能剩饭。  

#### 篇目4：神话传说 – 月亮上有兔子  
1. 晚上天上有月亮。  
2. 月亮圆圆的。  
3. 中国人说月亮上有兔子。  
4. 兔子是白色的。  
5. 兔子在月亮上做药。  
6. 那是一种长生不老的药。  
7. 月亮上还有一个女人。  
8. 她叫嫦娥。  
9. 嫦娥和兔子在一起。  
10. 中秋节的晚上看月亮。  

#### 篇目5：道德伦理 – 谢谢和对不起  
1. 别人帮你，你要说谢谢。  
2. 你说谢谢，别人会高兴。  
3. 你帮别人，别人也会说谢谢。  
4. 做错事，要说对不起。  
5. 说对不起，别人会原谅你。  
6. 不要说谎，说谎不好。  
7. 对朋友要友好。  
8. 不骂人，不打人。  
9. 排队不插队。  
10. 做一个有礼貌的好孩子。  

#### 篇目6：历史故事 – 大禹治水  
1. 以前有大水，人们很害怕。  
2. 一个叫大禹的人治水。  
3. 他挖了很多河。  
4. 水顺着河走了。  
5. 大禹很辛苦。  
6. 他三次路过家，都没有进去。  
7. 他的孩子想他。  
8. 但是他要先治水。  
9. 后来水治好了。  
10. 人们都很感谢大禹。  

#### 篇目7：饮食习俗 – 茶  
1. 中国人喜欢喝茶。  
2. 茶是热的。  
3. 茶有绿的颜色，也有红的。  
4. 绿茶很香。  
5. 红茶更好喝。  
6. 喝茶要用茶杯。  
7. 客人来了，倒茶给客人。  
8. 倒茶不能倒太满。  
9. 老人先喝茶。  
10. 喝茶是中国的习惯。  

#### 篇目8：寓言童话 – 乌鸦喝水  
1. 乌鸦渴了。  
2. 它找到一个瓶子。  
3. 瓶子里面有水。  
4. 但是瓶口小，乌鸦喝不到。  
5. 乌鸦想了想。  
6. 它看见旁边有小石头。  
7. 它把石头放进瓶子里。  
8. 水慢慢升上来了。  
9. 乌鸦喝到水了。  
10. 这个故事告诉我们要动脑筋。  

#### 篇目9：政治法律 – 红灯的时候等一下  
1. 马路上面有红灯。  
2. 红灯亮，汽车停。  
3. 人也要停下来。  
4. 绿灯亮，可以走。  
5. 过马路要走斑马线。  
6. 斑马线是白色的线。  
7. 不要在马路上跑。  
8. 小孩子要拉住大人的手。  
9. 法律是这样规定的。  
10. 安全最重要。  

#### 篇目10：思想观念 – 大家一起做  
1. 一个人搬不动大桌子。  
2. 两个人一起搬，就搬动了。  
3. 很多事要大家一起做。  
4. 老师说过：团结力量大。  
5. 你在家里，可以和妈妈一起做饭。  
6. 在学校，可以和同学一起打扫教室。  
7. 一起做事很快。  
8. 一起做事很开心。  
9. 一个人做事很难。  
10. 大家互相帮助，就能做好。  

---

## HSK2级（补充8篇）

#### 篇目3：神话传说 – 牛郎和织女  
1. 很久以前，有一个放牛的男孩叫牛郎。  
2. 天上有一个织布的女孩叫织女。  
3. 他们相爱了，结婚了。  
4. 织女是仙女，她的妈妈王母娘娘不同意。  
5. 王母娘娘把织女带回了天上。  
6. 牛郎带着两个孩子去追。  
7. 王母娘娘用银簪划了一条河。  
8. 这条河就是天上的银河。  
9. 他们隔着银河，不能见面。  
10. 每年七月七日，喜鹊搭桥让他们见一次。  

#### 篇目4：历史故事 – 孟母三迁  
1. 孟子小时候和妈妈住在一起。  
2. 他们家原来在墓地旁边。  
3. 孟子学别人哭和跪拜。  
4. 妈妈说：“这里不适合孩子住。”  
5. 他们搬到市场旁边。  
6. 孟子学商人卖东西。  
7. 妈妈说：“这里也不适合。”  
8. 他们又搬到学校旁边。  
9. 孟子学读书人礼貌地读书。  
10. 妈妈高兴地说：“这才是好地方。”  

#### 篇目5：饮食习俗 – 包饺子  
1. 春节的时候，很多家庭包饺子。  
2. 先要准备面粉。  
3. 面粉加水，揉成面团。  
4. 把馅放在饺子皮中间。  
5. 馅可以是肉和白菜。  
6. 然后捏紧饺子边。  
7. 饺子像小耳朵。  
8. 水开了，把饺子放进去。  
9. 饺子浮起来，就熟了。  
10. 吃饺子的时候可以放醋和蒜。  

#### 篇目6：道德伦理 – 答应别人的事要做到  
1. 你对朋友说：“明天还你书。”  
2. 那你明天一定要还。  
3. 你说：“我来帮你。”  
4. 那你就要真的去帮。  
5. 答应别人的事，一定要做到。  
6. 如果做不到，就不要答应。  
7. 这叫“守信”。  
8. 守信的人，大家喜欢他。  
9. 不守信的人，大家不喜欢他。  
10. 做一个守信的人很重要。  

#### 篇目7：寓言童话 – 龟兔赛跑  
1. 兔子和乌龟赛跑。  
2. 兔子跑得很快，乌龟跑得很慢。  
3. 兔子觉得自己一定能赢。  
4. 兔子跑了一会儿，就睡觉了。  
5. 乌龟一直在慢慢地跑。  
6. 乌龟跑到了兔子睡觉的地方。  
7. 乌龟没有停，继续跑。  
8. 兔子醒了，继续跑。  
9. 但是乌龟已经到了终点。  
10. 这个故事说：慢不要紧，只要不放弃。  

#### 篇目8：政治法律 – 儿童有上学的权利  
1. 每个孩子都可以上学。  
2. 上学的权利是法律给的。  
3. 爸爸妈妈不能不让小孩上学。  
4. 小学和初中是免费的。  
5. 学校不能打学生。  
6. 学生也不能打同学。  
7. 老师要教学生知识。  
8. 学生要认真学习。  
9. 如果不上学，会没有知识。  
10. 法律保护孩子的上学权。  

#### 篇目9：思想观念 – 三人行，必有我师  
1. 孔子说过一句话。  
2. “三人行，必有我师焉。”  
3. 意思是：几个人一起走，其中一定有我的老师。  
4. 每个人都有优点。  
5. 你要学习别人的优点。  
6. 同学字写得好，你就学他写字。  
7. 同学跑步快，你就学他跑步。  
8. 别人的缺点，你不要学。  
9. 看到别人的缺点，反思自己有没有。  
10. 这样你会变得越来越好。  

#### 篇目10：神话传说 – 年兽的故事  
1. 古时候有一种怪兽，叫“年”。  
2. 年兽每年最后一天出来吃人。  
3. 人们很害怕。  
4. 后来人们发现年兽怕红色。  
5. 也怕很大的响声。  
6. 于是人们贴红纸在门上。  
7. 还放鞭炮吓走年兽。  
8. 年兽真的被吓跑了。  
9. 以后每年这天，人们都这样做。  
10. 这就是过年放鞭炮的来历。  

---

## HSK3级（补充8篇）

#### 篇目3：神话传说 – 盘古开天辟地  
1. 很久很久以前，天地还没有分开，像一个大鸡蛋。  
2. 盘古在这个大鸡蛋里睡了一万八千年。  
3. 有一天他醒了，发现周围又黑又闷。  
4. 他拿起一把斧头，用力劈开了这个大鸡蛋。  
5. 轻而清的东西上升，变成了天。  
6. 重而浊的东西下降，变成了地。  
7. 盘古担心天地还会合起来，就用手撑着天，脚踩着地。  
8. 每天天升高一丈，地加厚一丈，盘古也长高一丈。  
9. 又过了一万八千年，天很高了，地很厚了，盘古也累倒了。  
10. 他的身体变成了万物：呼吸变成风和云，声音变成雷电，眼睛变成太阳和月亮。  

#### 篇目4：历史故事 – 秦始皇修长城  
1. 秦始皇是中国第一个皇帝。  
2. 他统一了六国以后，为了防御北方的敌人，决定修长城。  
3. 长城很长，有上万公里。  
4. 修长城用了很多很多的人。  
5. 这些人大都是士兵和农民。  
6. 修长城很艰苦，很多人累死了。  
7. 传说孟姜女的丈夫被拉去修长城，累死了。  
8. 孟姜女哭了三天三夜，长城都哭倒了。  
9. 虽然修长城很残酷，但长城保护了百姓的安全。  
10. 今天，长城成了世界著名的旅游景点。  

#### 篇目5：饮食习俗 – 春节吃什么  
1. 春节是中国人最重要的节日。  
2. 北方人春节吃饺子。  
3. 饺子的形状像元宝，代表财富。  
4. 南方人春节吃年糕。  
5. 年糕是糯米做的，甜甜的。  
6. “年糕”的“糕”和“高”同音，代表一年比一年高。  
7. 还有的人家吃鱼。  
8. “鱼”和“余”同音，代表年年有余。  
9. 年夜饭是一家人团圆吃的饭。  
10. 不管吃什么，大家都希望新的一年幸福平安。  

#### 篇目6：道德伦理 – 尊老爱幼  
1. 在中国，尊敬老人、爱护小孩是重要的美德。  
2. 公交车上，年轻人会给老人让座。  
3. 老人过马路时，别人会帮忙。  
4. 吃饭的时候，先让老人坐下。  
5. 好的菜先夹给老人吃。  
6. 爱护小孩也很重要。  
7. 大人不会打骂小孩。  
8. 小孩子摔倒了，大家会扶起来。  
9. 尊老爱幼让家庭和社会更温暖。  
10. 每个人都会老，每个人也都小过。  

#### 篇目7：寓言童话 – 守株待兔  
1. 宋国有一个农民。  
2. 他的田里有一棵大树。  
3. 有一天，一只兔子跑过来，撞到了树上。  
4. 兔子脖子断了，死了。  
5. 农民很高兴，捡起兔子回家了。  
6. 他想了：这样比种田容易多了。  
7. 从那天起，他不再种田，天天坐在树下等兔子。  
8. 他等了一天又一天。  
9. 再也没有兔子来撞树。  
10. 他的田也荒了。这个故事告诉我们不要不劳而获。  

#### 篇目8：政治法律 – 垃圾分类  
1. 中国很多城市现在要求垃圾分类。  
2. 垃圾分为可回收物、厨余垃圾、有害垃圾和其他垃圾。  
3. 可回收物包括塑料瓶、纸箱、玻璃瓶。  
4. 厨余垃圾是吃剩的饭菜、果皮。  
5. 有害垃圾比如电池、过期药品。  
6. 其他垃圾就是不属于前三类的垃圾。  
7. 每个家庭要把不同的垃圾放进不同颜色的垃圾桶。  
8. 不按规定扔垃圾，可能会被罚款。  
9. 垃圾分类可以保护环境。  
10. 这是法律的规定，也是每个人的责任。  

#### 篇目9：思想观念 – 节俭是美德  
1. 中国人认为节俭是一种美德。  
2. 节俭就是不浪费东西。  
3. 吃饭的时候，吃多少盛多少。  
4. 不剩下饭菜。  
5. 离开房间要关灯，节约用电。  
6. 洗手的时候不要一直开着水龙头。  
7. 衣服还能穿就不要买新的。  
8. 古代有一个皇帝叫隋文帝，他很节俭，衣服破了还继续穿。  
9. 节俭不是小气，而是尊重劳动。  
10. 浪费是可耻的行为。  

#### 篇目10：历史故事 – 屈原与端午节  
1. 屈原是古代楚国的一位诗人。  
2. 他非常爱自己的国家。  
3. 后来楚国被秦国打败了，屈原很伤心。  
4. 他在农历五月初五跳进了汨罗江。  
5. 人们听说后，赶紧划船去救他。  
6. 但是没有找到他。  
7. 人们怕鱼吃他的身体，就往江里扔米饭团。  
8. 后来每年的五月初五，人们就划龙舟、吃粽子。  
9. 这就是端午节的来历。  
10. 屈原写了很多诗，他是中国伟大的爱国诗人。  

---

## HSK4级（补充8篇）

#### 篇目3：神话传说 – 夸父逐日  
1. 夸父是古代神话中的一个巨人。  
2. 他觉得太阳每天落下后，世界就变得黑暗寒冷。  
3. 他想：我要追上太阳，把它捉住。  
4. 于是夸父开始追太阳。  
5. 他跑得非常快，像风一样。  
6. 他追了很久，离太阳越来越近，也越来越渴。  
7. 他喝干了黄河和渭河的水，但还是渴。  
8. 他往北走想喝大湖的水，但是还没走到就渴死了。  
9. 他倒下后，手杖变成了一片桃林。  
10. 夸父虽然失败了，但他的勇气和坚持代代相传。  

#### 篇目4：历史故事 – 郑和下西洋  
1. 明朝的时候，有一个伟大的航海家叫郑和。  
2. 皇帝派他带领船队去海外。  
3. 他的船队有200多艘船，两万多人。  
4. 这是当时世界上最大的船队。  
5. 郑和七次下西洋，最远到了非洲东海岸。  
6. 他带去了中国的丝绸、瓷器和茶叶。  
7. 也从外国带回了香料、宝石和珍稀动物。  
8. 郑和不靠武力征服别人，而是友好交往。  
9. 他促进了中国和许多国家的贸易与文化联系。  
10. 直到今天，东南亚还有很多纪念郑和的庙宇。  

#### 篇目5：饮食习俗 – 火锅  
1. 火锅是中国非常有特色的一种吃法。  
2. 吃火锅时，桌上放一个锅，锅里有滚烫的汤。  
3. 大家围坐在一起，把自己喜欢的食物放进去煮。  
4. 可以煮肉片、羊肉、鱼丸、豆腐、蔬菜等。  
5. 煮熟后捞出来，蘸着调料吃。  
6. 汤底有很多种，比如麻辣的、清汤的、番茄的。  
7. 四川和重庆人最喜欢麻辣火锅。  
8. 吃火锅很热闹，适合朋友聚会或家庭聚餐。  
9. 火锅也象征团圆和红火。  
10. 冬天吃火锅尤其舒服，能让人全身暖和。  

#### 篇目6：道德伦理 – 诚信是做人的根本  
1. 诚信就是诚实和守信用。  
2. 孔子说：“人而无信，不知其可也。”意思是，一个人如果不讲信用，不知道他还能做什么。  
3. 古代有个商人叫商鞅，他在秦国变法。  
4. 为了取信于民，他在南门立了一根木头，说谁能搬到北门就给很多钱。  
5. 有人搬了，他真的给了钱。从此百姓相信他。  
6. 在生活中，诚信也很重要。  
7. 考试不作弊是诚信。借钱按时还是诚信。  
8. 一个不诚信的人，朋友会越来越少。  
9. 诚信像一张名片，代表你值得信赖。  
10. 无论做什么工作，诚信都是成功的基础。  

#### 篇目7：寓言童话 – 井底之蛙  
1. 从前有一只青蛙，住在一口井里。  
2. 它觉得井里的世界就是全部。  
3. 它对一只从海来的海龟说：“我这儿多好啊，你快来看看。”  
4. 海龟伸了一只脚进井，结果卡住了。  
5. 海龟说：“你见过大海吗？海很大，大得无边无际。”  
6. 青蛙听了非常惊讶。  
7. 它这才知道自己原来这么渺小。  
8. 这个故事比喻眼光狭窄、见识短浅的人。  
9. 我们不应该像井底之蛙一样，只看到自己小小的世界。  
10. 要多出去看看，多学习，才能开阔眼界。  

#### 篇目8：政治法律 – 消费者权益保护  
1. 每个买东西的人都是消费者。  
2. 中国有《消费者权益保护法》。  
3. 消费者有权知道商品的真实信息。  
4. 商家不能卖假货，也不能骗人。  
5. 如果买到坏的东西，可以要求退货或换货。  
6. 有些商品有“三包”规定：包修、包换、包退。  
7. 餐厅不能强制要求最低消费。  
8. 超市买东西的小票要保留，那是证据。  
9. 如果权益受到侵害，可以打12315电话投诉。  
10. 了解消费者权益，可以更好地保护自己。  

#### 篇目9：思想观念 – 中庸之道  
1. “中庸”是儒家思想的重要概念。  
2. 中庸不是平庸，也不是和稀泥。  
3. 中庸的意思是：不偏不倚，恰到好处。  
4. 比如你吃饭，吃太少会饿，吃太多会撑，吃得刚刚好就是中庸。  
5. 与人相处时，既不要太冷淡，也不要太热情让人不舒服。  
6. 做事不要过分，也不要不及。  
7. 孔子说过：“过犹不及。”意思是，超过和达不到都不好。  
8. 中庸追求的是平衡与和谐。  
9. 这门哲学影响了中国人的行为方式。  
10. 很多人不喜欢走极端，而是选择中间的道路。  

#### 篇目10：历史故事 – 四大发明  
1. 中国古代有四大发明，对世界影响很大。  
2. 第一是造纸术。东汉的蔡伦改进了纸，使写字变得方便。  
3. 第二是印刷术。毕昇发明了活字印刷，大大提高了印书速度。  
4. 第三是火药。古代中国人用火药做鞭炮和武器。  
5. 第四是指南针。指南针帮助船只在海上确定方向。  
6. 造纸术和印刷术让知识更容易传播。  
7. 火药改变了战争的方式。  
8. 指南针开启了大航海时代。  
9. 这些发明后来传入欧洲和世界各地。  
10. 四大发明展现了古代中国人的智慧。  

---

## HSK5级（补充8篇）

#### 篇目3：神话传说 – 精卫填海  
1. 精卫是炎帝的小女儿，名叫女娃。  
2. 有一天她去东海玩，不幸被海浪淹死了。  
3. 死后她变成了一只鸟，名叫精卫。  
4. 精卫长着花纹的嘴、红色的爪子和白色的翅膀。  
5. 她恨大海夺走了自己的生命。  
6. 为了不让大海再害别人，她决定把海填平。  
7. 每天，她从西山上衔来小石头和小树枝，飞往东海扔下去。  
8. 大海嘲笑她说：“你这样做一百万年也没用。”  
9. 精卫坚定地回答：“就算一千年、一万年，我也要填下去！”  
10. 精卫填海的故事象征着不屈不挠的精神。  

#### 篇目4：历史故事 – 丝绸之路  
1. 丝绸之路是古代连接中国和西方的交通要道。  
2. 汉代张骞两次出使西域，开辟了这条路。  
3. 因为主要运输中国丝绸，所以取名丝绸之路。  
4. 丝绸之路从长安（今西安）出发，经过河西走廊，到中亚、西亚，最后到地中海。  
5. 通过这条路，中国的丝绸、瓷器、茶叶和造纸术传到了西方。  
6. 西方的葡萄、胡桃、狮子、宝石等也进入了中国。  
7. 除了商品，佛教、伊斯兰教等宗教也沿着丝绸之路传播。  
8. 丝绸之路不仅是贸易之路，也是文化、技术和思想的交流之路。  
9. 今天，中国提出了“一带一路”倡议，延续了丝路精神。  
10. 丝绸之路促进了古代世界几大文明之间的对话。  

#### 篇目5：饮食习俗 – 筷子使用的禁忌  
1. 筷子是中国人每天都要用的餐具。  
2. 使用筷子时有一些传统的禁忌。  
3. 不要把筷子插在饭碗里，因为那像祭祀时烧香的样子，不吉利。  
4. 不要用筷子敲碗，古时候乞丐才这样敲。  
5. 不要用筷子指人，那是很不礼貌的。  
6. 不要把筷子交叉放在桌上，那像否定别人。  
7. 不要用一根筷子去挑菜，也不要把筷子含在嘴里吸。  
8. 夹菜时不要在盘子里翻来翻去找自己想吃的东西。  
9. 如果暂时不用筷子，应该并排放在筷架上或碗旁边。  
10. 懂得这些规矩，能避免在餐桌上失礼。  

#### 篇目6：道德伦理 – 仁者爱人  
1. 孔子思想的核心是“仁”。  
2. “仁”最简单的解释是“爱人”。  
3. 仁者，就是懂得关心他人、帮助他人的人。  
4. 孔子说：“己欲立而立人，己欲达而达人。”意思是，自己想要成功，也帮助别人成功。  
5. 仁慈的人看到有人受苦，会感到难过。  
6. 仁爱从孝顺父母、尊敬兄长开始。  
7. 然后扩大到家族、邻居，再到整个社会。  
8. 孟子说：“老吾老以及人之老，幼吾幼以及人之幼。”  
9. 把对自己亲人的关爱推及到别人的亲人身上。  
10. “仁”影响了中国人几千年的道德标准。  

#### 篇目7：寓言童话 – 愚公移山  
1. 古代有一位老人叫愚公，九十多岁了。  
2. 他家门前有两座大山，挡住了路。  
3. 每次出门都要绕很远，很不方便。  
4. 愚公决定把山挖平。  
5. 他带着家人开始挖土、搬石头。  
6. 有个聪明的人笑他：“你这么大年纪，连一棵草都动不了，怎么能挖平山？”  
7. 愚公说：“我死了有儿子，儿子死了有孙子，子子孙孙无穷尽，而山不会再增高，为什么挖不平？”  
8. 山神被感动了，报告给天帝。  
9. 天帝派神把两座山搬走了。  
10. 这个故事比喻坚持不懈、不怕困难的精神。  

#### 篇目8：政治法律 – 中国的民族区域自治  
1. 中国是一个统一的多民族国家。  
2. 除了汉族，还有55个少数民族。  
3. 少数民族人口虽少，但分布很广。  
4. 国家实行民族区域自治制度。  
5. 在少数民族聚居的地方设立自治区、自治州、自治县。  
6. 比如内蒙古自治区、新疆维吾尔自治区、广西壮族自治区等。  
7. 自治地方的人大和政府首长由本民族公民担任。  
8. 民族自治地方可以根据本地实际制定特殊政策。  
9. 国家帮助少数民族发展经济、文化和教育。  
10. 各民族一律平等，团结互助，共同繁荣。  

#### 篇目9：思想观念 – 和而不同  
1. “和而不同”出自孔子的话：“君子和而不同，小人同而不和。”  
2. “和”是和谐，“同”是完全一样。  
3. 君子可以跟别人和谐相处，但不必事事相同。  
4. 小人表面迎合别人，内心却不和谐。  
5. 比如音乐，不同音调组合起来才是好听的乐曲。  
6. 如果只有一个音，那是噪音。  
7. 在人际关系中，允许别人有不同意见，才能互相尊重。  
8. 在国际关系中，每个国家有自己的文化和发展道路，但可以和平共处。  
9. 中国主张“求同存异”，就是寻找共同点，保留不同点。  
10. 和而不同的智慧帮助人们减少冲突，增进理解。  

#### 篇目10：历史故事 – 岳飞精忠报国  
1. 岳飞是南宋的抗金名将。  
2. 他小时候，母亲在他背上刺了四个字：“精忠报国”。  
3. 岳飞长大后成为一名优秀的将领。  
4. 他带领岳家军多次打败金兵。  
5. 金兵说：“撼山易，撼岳家军难。”  
6. 岳飞一心收复失地，迎接被俘的皇帝回来。  
7. 但是当时的宰相秦桧主张议和，害怕岳飞成功。  
8. 秦桧以莫须有的罪名把岳飞关进监狱。  
9. 岳飞最后被杀害，年仅39岁。  
10. 后来人们为岳飞建庙纪念他，秦桧一直跪在庙前谢罪。  

---

## HSK6级（补充8篇）

#### 篇目3：神话传说 – 神农尝百草  
1. 神农氏是中国古代神话中的一位部落首领。  
2. 他是农耕和医药的发明者。  
3. 远古时期，人们不知道哪些植物能吃，哪些能治病。  
4. 神农决定亲自尝试各种草木。  
5. 他带着一根神鞭，抽打草木就能知道它们的特性。  
6. 但他更常用的是亲自品尝。  
7. 他一天之内曾中过七十次毒。  
8. 每次中毒后，他就用找到的草药解毒。  
9. 最后他尝到了一种剧毒的草叫断肠草，来不及解毒就去世了。  
10. 神农为了拯救人民而牺牲自己，人们永远纪念他。  

#### 篇目4：历史故事 – 辛亥革命  
1. 辛亥革命是1911年爆发的一场革命。  
2. 当时中国最后一个封建王朝——清朝已经非常腐败。  
3. 西方列强侵略中国，人民生活十分困苦。  
4. 孙中山先生领导革命党人，主张推翻清朝，建立共和国。  
5. 1911年10月10日，武昌起义打响了第一枪。  
6. 很快，全国许多省份宣布独立。  
7. 1912年，清朝皇帝退位，延续了两千多年的帝制结束了。  
8. 中华民国成立，孙中山就任临时大总统。  
9. 辛亥革命传播了民主共和的思想。  
10. 虽然革命并不彻底，但它是中国近代史上重要的转折点。  

#### 篇目5：饮食习俗 – 八大菜系  
1. 中国地域广阔，各地饮食风格不同。  
